lambda0 k theta sigma alpha epsilon weight
1.24923 22319 5.66038e-05 0.357794 0.912372 0.85804 1.55088e-05
1.2649 22319 5.66038e-05 0.357794 0.912372 0.85804 1.55088e-05
1.2635 22319 5.66038e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27142 22319 5.66038e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27039 22319 5.66038e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27377 22319 5.66038e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25574 22319 5.66038e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26465 22319 5.66038e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26229 22319 5.66038e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26225 22319 5.66038e-05 0.357794 0.912372 0.85804 2.33593e-05
1.2645 22319 5.66038e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26783 22319 5.66038e-05 0.357794 0.912372 0.85804 2.13722e-05
1.2459 22319 5.66038e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26974 22319 5.66038e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26026 22319 5.66038e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26548 22319 5.66038e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26079 22319 5.66038e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26878 22319 5.66038e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25002 22319 5.66038e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25722 22319 5.66038e-05 0.357794 0.912372 0.85804 7.85132e-05
1.2633 22319 5.66038e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25665 22319 5.66038e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2738 22319 5.66038e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26172 22319 5.66038e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26719 22319 5.66038e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25896 22323 5.65778e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26006 22323 5.65778e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2579 22323 5.65778e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27075 22313 5.65945e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25428 22313 5.65945e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25322 22307 5.65964e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25264 22305 5.65663e-05 0.357794 0.912372 0.85804 0.000113059
1.26441 22305 5.65663e-05 0.357794 0.912372 0.85804 0.000113059
1.25794 22305 5.65663e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27126 22305 5.65663e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27498 22305 5.65663e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26372 22321 5.65771e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26151 22321 5.65771e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27335 22319 5.65875e-05 0.357794 0.912372 0.85804 4.41637e-05
1.2693 22319 5.65875e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27375 22319 5.65875e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27514 22319 5.65875e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26426 22319 5.65875e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26669 22319 5.65875e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26514 22333 5.6572e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26434 22333 5.6572e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27106 22333 5.6572e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2673 22333 5.6572e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25084 22333 5.6572e-05 0.357794 0.912372 0.85804 6.68988e-05
1.272 22333 5.6572e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27509 22333 5.65683e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26939 22333 5.65683e-05 0.357794 0.912372 0.85804 0.000113059
1.2628 22333 5.65683e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27693 22333 5.65683e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27796 22333 5.65683e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26696 22331 5.65684e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26992 22341 5.6548e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27182 22341 5.6548e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26427 22321 5.65761e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24884 22323 5.65785e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25501 22313 5.65989e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25962 22313 5.65989e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26834 22313 5.65989e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25485 22313 5.65993e-05 0.357794 0.912372 0.85804 1.44208e-05
1.27104 22313 5.65993e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26375 22313 5.65993e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26251 22313 5.65993e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25378 22311 5.66169e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27103 22311 5.66169e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26079 22311 5.66169e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26714 22313 5.66109e-05 0.357794 0.912372 0.85804 1.55088e-05
1.28425 22313 5.66109e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26601 22313 5.66109e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26232 22313 5.66109e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26104 22313 5.66109e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27311 22313 5.66109e-05 0.357794 0.912372 0.85804 0.000176655
1.25357 22313 5.66177e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27533 22313 5.66177e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27355 22313 5.66177e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27351 22313 5.66177e-05 0.357794 0.912372 0.85804 2.33593e-05
1.2502 22313 5.66177e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26693 22313 5.66177e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27019 22313 5.66177e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25524 22313 5.66149e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25522 22313 5.66149e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27004 22313 5.66149e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26847 22313 5.66149e-05 0.357794 0.912372 0.85804 2.5637e-05
1.24575 22313 5.66149e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25854 22313 5.66149e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27597 22313 5.66149e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27369 22311 5.66194e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26992 22311 5.66194e-05 0.357794 0.912372 0.85804 5.02485e-05
